id,x,y,yaw
0,-41.2628,10.6843,2.43115
1,-42.3518,12.024,2.43661
2,-43.4845,13.2509,2.43847
3,-44.9061,14.1802,2.43577
4,-46.0325,15.2971,2.43909
5,-47.0285,16.169,2.43362
6,-48.8745,17.5097,2.43377
7,-50.2334,18.5766,2.43327
8,-51.8292,20.1485,2.43433
9,-53.1509,21.2344,2.44446
10,-54.4123,22.2247,2.44488
11,-56.0529,23.73,2.44249
12,-57.4839,24.9688,2.44244
13,-58.944,26.3058,2.44252
14,-60.3801,27.5586,2.45277
15,-61.7186,28.5386,2.44643
16,-63.1308,30.0389,2.46674
17,-65.0778,31.4663,2.45573
18,-66.4888,32.6816,2.45588
19,-68.657,34.5438,2.45691
20,-69.2449,35.0691,2.45686
21,-71.3187,36.9816,2.46175
22,-73.2474,38.3538,2.46497
23,-74.5031,39.4001,2.46109
24,-75.6618,40.3515,2.45684
25,-76.9567,41.4491,2.45043
26,-78.2084,42.3909,2.44817
27,-79.8663,43.9174,2.44505
28,-81.6418,45.2473,2.44661
29,-83.0546,46.4264,2.44501
30,-84.3783,47.6291,2.44732
31,-86.1092,49.2603,2.44812
32,-87.7185,50.3659,2.43856
33,-89.1444,51.5008,2.439
34,-90.9322,52.8304,2.43668
35,-92.1056,54.3624,2.43647
36,-93.8621,55.8269,2.43899
37,-95.1845,56.8854,2.43657
38,-96.2399,57.6989,2.42765
39,-97.8403,59.044,2.42283
40,-99.0844,60.2904,2.41341
41,-100.594,61.9624,2.42285
42,-102.089,63.6279,2.42953
43,-103.891,65.2552,2.4332
44,-104.958,66.1135,2.42959
45,-106.369,67.0611,2.42847
46,-107.642,68.7173,2.43358
47,-109.25,69.8878,2.43197
48,-110.816,71.2823,2.43576
49,-112.14,72.1308,2.43262
50,-113.443,73.4097,2.43177
51,-115.164,74.7884,2.42922
52,-116.594,75.5463,2.43076
53,-117.81,76.9306,2.42872
54,-119.232,78.0843,2.42726
55,-120.608,79.321,2.42786
56,-121.678,80.2744,2.42166
57,-123.206,81.8734,2.42745
58,-124.619,82.907,2.42796
59,-126.022,84.2197,2.42869
60,-127.263,85.4901,2.4283
61,-128.785,86.6789,2.42592
62,-130.135,87.8941,2.42702
63,-131.495,89.1285,2.42448
64,-132.276,89.9247,2.43336
65,-134.406,91.8865,2.4245
66,-135.577,92.7572,2.42593
67,-136.845,94.2209,2.42591
68,-138.363,95.8503,2.4236
69,-139.672,96.9456,2.42482
70,-140.99,98.1208,2.42431
71,-142.527,99.5586,2.42429
72,-143.679,100.463,2.42688
73,-144.182,100.977,2.43004
74,-144.885,102.085,2.44514
75,-148.029,104.514,2.42313
76,-149.388,105.623,2.42625
77,-149.692,106.011,2.42058
78,-152.043,108.19,2.42021
79,-152.608,108.527,2.42655
80,-154.501,110.163,2.44034
81,-155.577,111.447,2.44485
82,-157.121,112.789,2.445
83,-158.89,114.199,2.44218
84,-159.962,115.599,2.44755
85,-161.709,116.554,2.443
86,-163.323,118.021,2.44204
87,-164.788,119.474,2.44295
88,-166.137,120.546,2.43365
89,-167.366,121.681,2.43976
90,-168.762,123.071,2.43342
91,-169.981,124.085,2.44379
92,-171.47,125.789,2.43263
93,-173.237,127.189,2.43821
94,-174.43,128.189,2.44123
95,-175.708,129.285,2.44824
96,-177.727,131.034,2.44946
97,-178.929,132.209,2.44423
98,-180.501,133.784,2.4439
99,-181.45,134.762,2.43961
100,-182.899,135.776,2.44175
101,-184.257,137.119,2.44319
102,-186.068,138.601,2.44336
103,-187.839,140.138,2.4425
104,-188.959,141.064,2.44489
105,-189.76,141.801,2.44666
106,-191.42,143.431,2.43505
107,-193.046,144.769,2.4372
