seq,x,y,yaw
0,-44.2706,7.47248,2.4334
1,-44.2706,7.47248,2.4334
2,-44.2706,7.47248,2.4334
3,-44.2706,7.47248,2.4334
4,-44.2706,7.47248,2.4334
5,-44.2706,7.47248,2.4334
6,-44.2706,7.47248,2.4334
7,-44.2706,7.47248,2.4334
8,-44.2706,7.47248,2.4334
9,-44.2706,7.47248,2.4334
10,-44.2706,7.47248,2.4334
11,-44.2706,7.47248,2.4334
12,-44.2706,7.47248,2.4334
13,-44.2706,7.47248,2.4334
14,-44.2706,7.47248,2.4334
15,-44.2706,7.47248,2.4334
16,-44.2706,7.47248,2.4334
17,-44.2706,7.47248,2.4334
18,-44.2706,7.47248,2.4334
19,-44.2706,7.47248,2.4334
20,-44.2706,7.47248,2.4334
21,-44.2706,7.47248,2.4334
22,-44.2706,7.47248,2.4334
23,-44.2706,7.47248,2.4334
24,-44.2706,7.47248,2.4334
25,-44.2706,7.47248,2.4334
26,-44.2706,7.47248,2.4334
27,-44.2706,7.47248,2.4334
28,-44.2706,7.47248,2.4334
29,-44.2706,7.47248,2.4334
30,-44.2706,7.47248,2.4334
31,-44.2706,7.47248,2.4334
32,-44.2706,7.47248,2.4334
33,-44.2706,7.47248,2.4334
34,-44.2706,7.47248,2.4334
35,-44.2706,7.47248,2.4334
36,-44.2706,7.47248,2.4334
37,-44.2706,7.47248,2.4334
38,-44.2706,7.47248,2.4334
39,-44.2706,7.47248,2.4334
40,-44.2706,7.47248,2.4334
41,-44.2706,7.47248,2.4334
42,-44.2706,7.47248,2.4334
43,-44.2706,7.47248,2.4334
44,-44.2706,7.47248,2.4334
45,-44.2706,7.47248,2.4334
46,-44.2706,7.47248,2.4334
47,-44.2706,7.47248,2.4334
48,-44.2706,7.47248,2.4334
49,-44.2706,7.47248,2.4334
50,-44.2706,7.47248,2.4334
51,-44.2706,7.47248,2.4334
52,-44.2706,7.47248,2.4334
53,-44.2706,7.47248,2.4334
54,-44.2706,7.47248,2.4334
55,-44.2706,7.47248,2.4334
56,-44.2706,7.47248,2.4334
57,-44.2706,7.47248,2.4334
58,-44.2706,7.47248,2.4334
59,-44.2706,7.47248,2.4334
60,-44.2706,7.47248,2.4334
61,-44.2706,7.47248,2.4334
62,-44.2706,7.47248,2.4334
63,-44.2706,7.47248,2.4334
64,-44.2706,7.47248,2.4334
65,-44.2706,7.47248,2.4334
66,-44.2706,7.47248,2.4334
67,-44.2706,7.47248,2.4334
68,-44.2706,7.47248,2.4334
69,-44.2706,7.47248,2.4334
70,-44.2706,7.47248,2.4334
71,-44.2706,7.47248,2.4334
72,-44.2706,7.47248,2.4334
73,-44.2706,7.47248,2.4334
74,-44.2706,7.47248,2.4334
75,-44.2706,7.47248,2.4334
76,-44.2706,7.47248,2.4334
77,-44.2706,7.47248,2.4334
