id,x,y,yaw
0,-40.9279,11.4831,2.43354
1,-41.8263,12.3834,2.43583
2,-42.8146,13.5288,2.4387
3,-43.9578,14.6801,2.43303
4,-45.3306,15.9703,2.4321
5,-46.674,16.9124,2.43181
6,-48.1764,17.9427,2.43199
7,-49.6612,19.0024,2.43205
8,-51.5347,20.7745,2.43479
9,-52.6187,21.7211,2.43892
10,-53.6864,22.6267,2.43726
11,-54.7811,23.4781,2.43975
12,-55.3979,24.1006,2.43674
13,-58.9519,27.3701,2.4418
14,-59.9254,28.0722,2.44837
15,-60.9912,28.8469,2.44968
16,-62.9186,30.63,2.45892
17,-64.7309,32.0037,2.45387
18,-65.4126,32.5387,2.45389
19,-66.5267,33.3838,2.45035
20,-69.3765,35.988,2.45723
21,-70.749,37.3566,2.45644
22,-71.7782,38.0635,2.45607
23,-73.815,39.9468,2.4613
24,-75.1973,41.0202,2.45669
25,-76.2482,41.9489,2.45475
26,-77.5953,42.6581,2.45076
27,-79.5667,44.6659,2.45193
28,-81.0047,45.753,2.45249
29,-82.1146,46.6954,2.45052
30,-83.0876,47.6522,2.4509
31,-85.4226,49.6011,2.44635
32,-87.906,50.4151,2.43968
33,-89.1516,51.4363,2.44016
34,-90.9115,52.8485,2.44012
35,-91.8119,54.5906,2.44216
36,-93.9656,55.7675,2.44239
37,-94.9506,56.58,2.43706
38,-96.1866,57.7131,2.43173
39,-97.6684,58.7185,2.42401
40,-98.5844,59.7729,2.41544
