id,x,y,yaw
0,-533.496,284.098,2.45637
1,-533.511,284.172,2.45715
2,-533.366,284.157,2.45863
3,-533.642,284.197,2.45705
4,-533.607,284.231,2.45778
5,-533.713,284.409,2.45897
6,-533.868,284.569,2.45863
7,-534.223,284.754,2.45524
8,-534.583,285.032,2.46106
9,-534.855,285.253,2.45708
10,-534.992,285.519,2.45425
11,-535.333,285.928,2.45443
12,-535.81,286.354,2.45993
13,-536.459,286.852,2.45978
14,-536.607,287.111,2.46092
15,-537.578,287.876,2.46449
16,-529.489,278.098,2.46009
17,-530.847,278.955,2.47023
18,-530.459,278.637,2.46971
19,-532.679,280.129,2.45902
20,-531.26,279.219,2.45011
21,-532.231,280.085,2.46011
22,-532.813,280.712,2.45889
23,-533.582,281.466,2.43467
24,-532.997,280.681,2.43625
25,-531.68,279.07,2.3253
26,-532.48,279.363,2.36548
27,-532.808,280.215,2.34029
28,-527.359,282.202,2.3612
29,-529.795,282.943,2.35878
30,-529.808,284.152,2.38173
31,-536.555,284.337,2.39034
